LOCATION,YEAR,MEDAL,GDP
AUS,1960,36,2408.509071
AUS,1964,42,2897.709644
AUS,1968,49,3826.664208
AUS,1972,20,5208.919749
AUS,1976,24,7390.445655
AUS,1980,12,10461.35003
AUS,1984,50,13472.88736
AUS,1988,34,16935.98351
AUS,1992,57,18937.50055
AUS,1996,132,22974.73917
AUS,2000,183,27888.22951
AUS,2004,157,33454.90467
AUS,2008,149,39219.47467
FRA,1960,11,1811.845107
FRA,1964,31,2301.038941
FRA,1968,27,3100.059837
FRA,1972,22,4408.423006
FRA,1976,20,6533.557522
FRA,1980,29,9736.834728
FRA,1984,68,12682.23054
FRA,1988,29,15505.58846
FRA,1992,57,19052.54006
FRA,1996,51,21455.06147
FRA,2000,66,26226.06912
FRA,2004,53,29179.71207
FRA,2008,76,35184.23363
GBR,1960,28,2186.298678
GBR,1964,28,2563.492244
GBR,1968,18,3268.199673
GBR,1972,29,4240.817118
GBR,1976,32,5903.572983
GBR,1980,45,8574.469157
GBR,1984,72,11547.30176
GBR,1988,53,15302.70909
GBR,1992,50,17664.60557
GBR,1996,26,21746.69948
GBR,2000,55,26248.77627
GBR,2004,57,31753.01663
GBR,2008,77,36247.53199
GER,1992,198,21710.5243
GER,1996,124,24237.15769
GER,2000,119,27546.58095
GER,2004,149,31837.71113
GER,2008,101,38662.60613
HUN,1960,65,
HUN,1964,56,
HUN,1968,81,
HUN,1972,81,
HUN,1976,55,
HUN,1980,61,
HUN,1988,44,
HUN,1992,45,8279.675894
HUN,1996,43,9338.510489
HUN,2000,53,11876.0812
HUN,2004,40,16251.38087
HUN,2008,27,20678.67991
ITA,1960,88,
ITA,1964,50,
ITA,1968,32,
ITA,1972,25,4151.920413
ITA,1976,31,6362.289655
ITA,1980,37,9777.857869
ITA,1984,63,12891.12557
ITA,1988,29,16362.41473
ITA,1992,46,20052.20598
ITA,1996,71,22963.13948
ITA,2000,65,27022.87547
ITA,2004,102,29376.67703
ITA,2008,42,35154.80175
NED,1960,3,
NED,1964,30,
NED,1968,14,
NED,1972,6,5006.611428
NED,1976,15,7426.051533
NED,1980,6,10653.90728
NED,1984,40,13463.84229
NED,1988,44,16344.7899
NED,1992,33,20506.00886
NED,1996,73,24225.8558
NED,2000,79,31598.90023
NED,2004,76,35440.99148
NED,2008,62,45859.47847
SWE,1960,7,
SWE,1964,15,
SWE,1968,9,
SWE,1972,21,5425.730005
SWE,1976,10,7893.705819
SWE,1980,18,11077.81793
SWE,1984,32,14908.62599
SWE,1988,16,18309.0667
SWE,1992,35,20502.71296
SWE,1996,31,23600.15959
SWE,2000,32,29275.86927
SWE,2004,12,33540.13481
SWE,2008,7,41853.86487
URS,1960,169,
URS,1964,174,
URS,1968,188,
URS,1972,211,
URS,1976,285,
URS,1980,442,
URS,1988,294,
USA,1960,112,
USA,1964,150,
USA,1968,149,
USA,1972,155,6109.110916
USA,1976,155,8609.38804
USA,1984,333,12569.95249
USA,1988,193,17093.04382
USA,1992,224,21433.96542
USA,1996,260,30032.55671
USA,2000,248,36419.44702
USA,2004,264,41856.5242
USA,2008,315,48330.06177
