Year,Season,City,Sport,Discipline,Athlete,Country,Population,GDP per Capita,Gender,Event,Medal
1896,Summer,Athens,Aquatics,Swimming,"HAJOS, Alfred",Hungary,9844686,12363.54,Men,100M Freestyle,Gold
1896,Summer,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",Austria,8611088,43774.99,Men,100M Freestyle,Silver
1896,Summer,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",Greece,10823732,18002.23,Men,100M Freestyle For Sailors,Bronze
1896,Summer,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",Greece,10823732,18002.23,Men,100M Freestyle For Sailors,Gold
1896,Summer,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",Greece,10823732,18002.23,Men,100M Freestyle For Sailors,Silver
1896,Summer,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Greece,10823732,18002.23,Men,1200M Freestyle,Bronze
1896,Summer,Athens,Aquatics,Swimming,"HAJOS, Alfred",Hungary,9844686,12363.54,Men,1200M Freestyle,Gold
1896,Summer,Athens,Aquatics,Swimming,"ANDREOU, Joannis",Greece,10823732,18002.23,Men,1200M Freestyle,Silver
1896,Summer,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Greece,10823732,18002.23,Men,400M Freestyle,Bronze
1896,Summer,Athens,Aquatics,Swimming,"NEUMANN, Paul",Austria,8611088,43774.99,Men,400M Freestyle,Gold
1896,Summer,Athens,Aquatics,Swimming,"PEPANOS, Antonios",Greece,10823732,18002.23,Men,400M Freestyle,Silver
1896,Summer,Athens,Athletics,Athletics,"LANE, Francis",United States,321418820,56115.72,Men,100M,Bronze
1896,Summer,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",Hungary,9844686,12363.54,Men,100M,Bronze
1896,Summer,Athens,Athletics,Athletics,"BURKE, Thomas",United States,321418820,56115.72,Men,100M,Gold
1896,Summer,Athens,Athletics,Athletics,"HOFMANN, Fritz",Germany,81413145,41313.31,Men,100M,Silver
1896,Summer,Athens,Athletics,Athletics,"CURTIS, Thomas",United States,321418820,56115.72,Men,110M Hurdles,Gold
1896,Summer,Athens,Athletics,Athletics,"GOULDING, Grantley",United Kingdom,65138232,43875.97,Men,110M Hurdles,Silver
1896,Summer,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",France,66808385,36205.57,Men,1500M,Bronze
1896,Summer,Athens,Athletics,Athletics,"FLACK, Edwin",Australia,23781169,56310.96,Men,1500M,Gold
1896,Summer,Athens,Athletics,Athletics,"BLAKE, Arthur",United States,321418820,56115.72,Men,1500M,Silver
1896,Summer,Athens,Athletics,Athletics,"GMELIN, Charles",United Kingdom,65138232,43875.97,Men,400M,Bronze
