Year,Season,City,Sport,Discipline,Athlete,Country,Population,GDP per Capita,Gender,Event,Medal
1994,Winter,Lillehammer,Skating,Short Track Speed Skating,"BRADBURY, Steven",Australia,23781169,56310.96,Men,5000M Relay,Bronze
1994,Winter,Lillehammer,Skating,Short Track Speed Skating,"HANSEN, Kieran",Australia,23781169,56310.96,Men,5000M Relay,Bronze
1994,Winter,Lillehammer,Skating,Short Track Speed Skating,"MURTHA, Andrew",Australia,23781169,56310.96,Men,5000M Relay,Bronze
1994,Winter,Lillehammer,Skating,Short Track Speed Skating,"NIZIELSKI, Richard",Australia,23781169,56310.96,Men,5000M Relay,Bronze
1998,Winter,Nagano,Skiing,Alpine Skiing,"STEGGALL, Zali",Australia,23781169,56310.96,Women,Slalom,Bronze
2002,Winter,Salt Lake City,Skating,Short Track Speed Skating,"BRADBURY, Steven",Australia,23781169,56310.96,Men,1000M,Gold
2002,Winter,Salt Lake City,Skiing,Freestyle Skiing,"CAMPLIN, Alisa",Australia,23781169,56310.96,Women,Aerials,Gold
2006,Winter,Turin,Skiing,Freestyle Skiing,"CAMPLIN, Alisa",Australia,23781169,56310.96,Women,Aerials,Bronze
2006,Winter,Turin,Skiing,Freestyle Skiing,"BEGG-SMITH, Dale",Australia,23781169,56310.96,Men,Moguls,Gold
2010,Winter,Vancouver,Skiing,Freestyle Skiing,"LASSILA, Lydia",Australia,23781169,56310.96,Women,Aerials,Gold
2010,Winter,Vancouver,Skiing,Freestyle Skiing,"BEGG-SMITH, Dale",Australia,23781169,56310.96,Men,Moguls,Silver
2010,Winter,Vancouver,Skiing,Snowboard,"BRIGHT, Torah",Australia,23781169,56310.96,Women,Half-Pipe,Gold
2014,Winter,Sochi,Skiing,Freestyle Skiing,"MORRIS, David",Australia,23781169,56310.96,Men,Aerials,Silver
2014,Winter,Sochi,Skiing,Freestyle Skiing,"LASSILA, Lydia",Australia,23781169,56310.96,Women,Aerials,Bronze
2014,Winter,Sochi,Skiing,Snowboard,"BRIGHT, Torah",Australia,23781169,56310.96,Women,Half-Pipe,Silver
1924,Winter,Chamonix,Skating,Figure skating,"B??CKL, Willy",Austria,8611088,43774.99,Men,Individual,Silver
1924,Winter,Chamonix,Skating,Figure skating,"SZABO-PLANK, Herma",Austria,8611088,43774.99,Women,Individual,Gold
1924,Winter,Chamonix,Skating,Figure skating,"BERGER, Alfred",Austria,8611088,43774.99,Men,Pairs,Gold
1924,Winter,Chamonix,Skating,Figure skating,"ENGELMANN, Helene",Austria,8611088,43774.99,Women,Pairs,Gold
1928,Winter,St.Moritz,Skating,Figure skating,"B??CKL, Willy",Austria,8611088,43774.99,Men,Individual,Silver
1928,Winter,St.Moritz,Skating,Figure skating,"BURGER, Fritzi",Austria,8611088,43774.99,Women,Individual,Silver
1928,Winter,St.Moritz,Skating,Figure skating,"BRUNNER, Melitta",Austria,8611088,43774.99,Women,Pairs,Bronze
1928,Winter,St.Moritz,Skating,Figure skating,"WREDE, Ludwig",Austria,8611088,43774.99,Men,Pairs,Bronze
1928,Winter,St.Moritz,Skating,Figure skating,"KAISER, Otto",Austria,8611088,43774.99,Men,Pairs,Silver
1928,Winter,St.Moritz,Skating,Figure skating,"SCHOLZ, Lilly",Austria,8611088,43774.99,Women,Pairs,Silver
1932,Winter,Lake Placid,Skating,Figure skating,"SCH??FER, Karl",Austria,8611088,43774.99,Men,Individual,Gold
1932,Winter,Lake Placid,Skating,Figure skating,"BURGER, Fritzi",Austria,8611088,43774.99,Women,Individual,Silver
1936,Winter,Garmisch Partenkirchen,Skating,Figure skating,"KASPAR, Felix",Austria,8611088,43774.99,Men,Individual,Bronze
1936,Winter,Garmisch Partenkirchen,Skating,Figure skating,"SCH??FER, Karl",Austria,8611088,43774.99,Men,Individual,Gold
1936,Winter,Garmisch Partenkirchen,Skating,Figure skating,"PAUSIN, Erik",Austria,8611088,43774.99,Men,Pairs,Silver
1936,Winter,Garmisch Partenkirchen,Skating,Figure skating,"PAUSIN, Ilse",Austria,8611088,43774.99,Women,Pairs,Silver
1936,Winter,Garmisch Partenkirchen,Skating,Speed skating,"STIEPL, Max",Austria,8611088,43774.99,Men,10000M,Bronze
1948,Winter,St.Moritz,Skating,Figure skating,"RADA, Edi",Austria,8611088,43774.99,Men,Individual,Bronze
1948,Winter,St.Moritz,Skating,Figure skating,"PAWLIK, Eva",Austria,8611088,43774.99,Women,Individual,Silver
1948,Winter,St.Moritz,Skiing,Alpine Skiing,"MAHRINGER, Erika",Austria,8611088,43774.99,Women,Alpine Combined,Bronze
1948,Winter,St.Moritz,Skiing,Alpine Skiing,"BEISER-JOCHUM, Trude",Austria,8611088,43774.99,Women,Alpine Combined,Gold
1948,Winter,St.Moritz,Skiing,Alpine Skiing,"GABL, Franz",Austria,8611088,43774.99,Men,Downhill,Silver
1948,Winter,St.Moritz,Skiing,Alpine Skiing,"HAMMERER, Resi",Austria,8611088,43774.99,Women,Downhill,Bronze
1948,Winter,St.Moritz,Skiing,Alpine Skiing,"BEISER-JOCHUM, Trude",Austria,8611088,43774.99,Women,Downhill,Silver
1948,Winter,St.Moritz,Skiing,Alpine Skiing,"MAHRINGER, Erika",Austria,8611088,43774.99,Women,Slalom,Bronze
1952,Winter,Oslo,Skating,Figure skating,"SEIBT, Hellmut",Austria,8611088,43774.99,Men,Individual,Silver
1952,Winter,Oslo,Skiing,Alpine Skiing,"PRAVDA, Christian",Austria,8611088,43774.99,Men,Downhill,Bronze
1952,Winter,Oslo,Skiing,Alpine Skiing,"SCHNEIDER, Othmar",Austria,8611088,43774.99,Men,Downhill,Silver
1952,Winter,Oslo,Skiing,Alpine Skiing,"BEISER-JOCHUM, Trude",Austria,8611088,43774.99,Women,Downhill,Gold
1952,Winter,Oslo,Skiing,Alpine Skiing,"SPIESS, Toni",Austria,8611088,43774.99,Men,Giant Slalom,Bronze
1952,Winter,Oslo,Skiing,Alpine Skiing,"PRAVDA, Christian",Austria,8611088,43774.99,Men,Giant Slalom,Silver
1952,Winter,Oslo,Skiing,Alpine Skiing,"ROM, Dagmar",Austria,8611088,43774.99,Women,Giant Slalom,Silver
1952,Winter,Oslo,Skiing,Alpine Skiing,"SCHNEIDER, Othmar",Austria,8611088,43774.99,Men,Slalom,Gold
1956,Winter,Cortina d'Ampezzo,Skating,Figure skating,"WENDL, Ingrid",Austria,8611088,43774.99,Women,Individual,Bronze
1956,Winter,Cortina d'Ampezzo,Skating,Figure skating,"OPPELT, Kurt",Austria,8611088,43774.99,Men,Pairs,Gold
1956,Winter,Cortina d'Ampezzo,Skating,Figure skating,"SCHWARZ, Elisabeth",Austria,8611088,43774.99,Women,Pairs,Gold
1956,Winter,Cortina d'Ampezzo,Skiing,Alpine Skiing,"MOLTERER, Andreas",Austria,8611088,43774.99,Men,Downhill,Bronze
1956,Winter,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Austria,8611088,43774.99,Men,Downhill,Gold
1956,Winter,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SCHUSTER, Walter",Austria,8611088,43774.99,Men,Giant Slalom,Bronze
1956,Winter,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Austria,8611088,43774.99,Men,Giant Slalom,Gold
1956,Winter,Cortina d'Ampezzo,Skiing,Alpine Skiing,"MOLTERER, Andreas",Austria,8611088,43774.99,Men,Giant Slalom,Silver
1956,Winter,Cortina d'Ampezzo,Skiing,Alpine Skiing,"HOCHLEITNER, Dorothea",Austria,8611088,43774.99,Women,Giant Slalom,Bronze
